,screen_name,text,account.type,class_type,translation
12,kevinhooke,ah! we just talked about this the other day @CMHooke https://t.co/40keSQBI3T,human,human,Ah! Nous avons juste parlé de cela le lendemain @CMHooke https://t.co/40keSQBI3T
13,zawarbot,"yo this fall weather is poison and socially progressive” that sack, sis twitter activists, and i just me?",bot,others,"Moi, ce temps d’automne est toxique et socialement progressif » ce sac, les actifs de Twitter, et je ne suis que moi?"
14,dril,i miss 100% of the shots i dont take mother fucker,human,human,J'ai perdu 100% des coups je ne prends pas maman fucker
15,narendramodi,Spent a great afternoon in Rohtak. Haryana has witnessed transformative changes in the last five years. Corruption and nepotism have disappeared. There is a culture of good governance and honesty. Here are pictures from the day’s programmes. https://t.co/sJgqTwSqe4,human,human,Une belle soirée à Rohtak. Haryana a vu des changements transformatifs au cours des cinq dernières années. La corruption et le nepotisme ont disparu. Il y a une culture de bonne gouvernance et d’honnêteté. Voici les photos des programmes de la journée. HTTPS://t.co/sJgqTwSqe4
16,awhalefact,"@thatrebaf i’m sorry my jokes killed you, i whale try to be less funny",human,human,"@thatrebaf je suis désolé mes blagues vous ont tué, j'essaye d'être moins amusant"
17,AINarendraModi,#ModiOpengere of the,bot,rnn,#ModiOpengere du
18,JustinTrudeau,"And this year, we introduced the First Time Home Buyer Incentive. It'll make it easier for young families to buy their first home by helping with the down payment, and lowering the monthly mortgage by up to $286 per month.",human,human,"Et cette année, nous avons introduit la première fois Home Buyer Incentive. Cela rendra plus facile pour les jeunes familles d’acheter leur première maison en aidant avec la baisse de paiement, et en réduisant l’hypothèque mensuelle jusqu’à 286 dollars par mois."
19,kevinhookebot,"""The portly and for card, and rogs of the docs and tools have a bottrained for JavaScript mode frameworks and the new 1988 300 sites strite website time grashipt device to be a points of the during the pr""",bot,rnn,"« Les ports et pour les cartes, et les rangs des docs et outils ont un boîtier pour les cadres de mode JavaScript et les nouveaux 1988 300 sites strite site web temps grashipt appareil pour être un point de l'au cours de la pr »"
20,dril,getting a 4k monitor so i can make posts,human,human,J'ai un moniteur 4K afin que je puisse faire des postes
21,GenePark_GPT2,This is one of those tweets that will make you want to go WOW!!,bot,gpt2,C'est l'un de ces tweets qui vous fera vouloir aller WOW!et!
22,kevinhookebot,"""The enderstand to been was see using a some problems to support datable to the languages from the section of J2EE better this bether all the steps (Reposities size-full wp-image-6073 \"" src=\""https://www.k""",bot,rnn,"« L’écart a été vu à l’aide d’un certain problème pour soutenir datable aux langues de la section de J2EE mieux ce meilleur toutes les étapes (Reposities size-full wp-image-6073 \"" src=\""https://www.k"""
23,dril,"@PrisonPlanet my boss called me a ""Pussy"" for not wiping my ass",human,human,"@PrisonPlanet mon patron m'a appelé une ""pussy"" pour ne pas me laver le cul"
24,JustinTrudeau,"Earlier today, I spoke with Premier @jkenney about the latest developments on the flooding in Fort McMurray and assured him the federal government stands ready to help. More on our call here: https://t.co/q53RJk7oM7",human,human,"Plus tôt aujourd'hui, j'ai parlé avec le Premier ministre @jkenney sur les derniers développements sur les inondations à Fort McMurray et j'ai assuré que le gouvernement fédéral était prêt à aider. Plus sur notre appel ici: https://t.co/q53RJk7oM7"
25,zawarbot,1 week in silence than assault rifles?,bot,others,Une semaine en silence que des fusils d’attaque?
26,kevinhooke,New Details Emerge Regarding Oracle’s Layoff of Java Mission Control Team https://t.co/tIZx6oArsi,human,human,Nouveaux détails surviennent sur le layout d'Oracle de l'équipe de contrôle des missions Java https://t.co/tIZx6oArsi
27,imranyebot,remember the same,bot,others,Rappelez-vous la même chose
28,zawarbot,ill spread your own adventure withdrawls <U+0001F97A><U+0001F97A>,bot,others,mal diffuse vos propres retours d'aventure <U+0001F97A><U+0001F97A>
29,dril_gpt2,"i love the idea of becoming popular so much that people are finally gonna stop writing articles like ""Worst Mother fucker on the web"" and start writing ""Best Mother fucker on the web",bot,gpt2,"j'aime l'idée de devenir si populaire que les gens vont enfin arrêter d'écrire des articles comme ""Best Mother fucker on the web"" et commencer à écrire ""Best Mother fucker on the web"""
30,dril,"ME: No matter how ya slice it, Sometimes some shit is just true
???: Shit is never true.  Its all false
ME: Youre wrong my friend",human,human,"ME : Quoi qu'il en soit, il y a des fois que la merde est juste vraie
et??Shit n’est jamais vrai.  Tout est faux
J'ai tort mon ami"
31,dril,"(monitoring TekkenChauncey's date)
""I;ve been told i do a flawless impersonation of the N64 era Donkey Kong...""
Hes blowing it. Im going in.",human,human,"(voir la date de TekkenChauncey)
« J’ai été dit que j’ai fait une personnalisation sans faille de l’ère N64 Donkey Kong. »
J’ai jeté ça. Je vais entrer."
32,narendramodi,The enthusiasm towards #YogaDay2019 is gaining momentum in UAE! https://t.co/Iok2uFQzYD,human,human,L'enthousiasme pour #YogaDay2019 gagne un momentum dans les États-Unis! HTTPS://t.co/Iok2uFQzYD
33,zawvrk,certified hood classic,human,human,CERTIFICATION HOD CLASSIC
34,kevinhookebot,"""The feature downiter in Bicrosoft and planning in this is bring a size. I needed to be any to an unific 3.0 pattern to sending developed to files and recently to be in the installed minhing could step an""",bot,rnn,"« La fonctionnalité qui diminue dans Bicrosoft et la planification dans ceci est de porter une taille. J'ai dû être quelqu'un d'un modèle unifié 3.0 pour envoyer des fichiers développés et récemment être dans le minhing installé pouvait faire un pas. """
35,imranye,may allah please grant my bank account shifaa,human,human,Je vous prie de donner mon compte bancaire Shifaa
36,dril,"i have created more jobs, than every Weed Smoker on the planet-- combined .",human,human,J'ai créé plus d'emplois que tous les fumeurs de Weed sur la planète - combinés.
37,kevinhooke,Avoid placing head between propellers https://t.co/VuPcn2s9zt,human,human,Évitez de placer la tête entre les propellers https://t.co/VuPcn2s9zt
38,ninjasexparty,porn movie idea: An Inspector Balls,human,human,Titre original : A Inspector Balls
39,zawarbot,nahhhhh all yee white people that,bot,others,Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhh
40,zawvrk,lol this a cheese sauce packet https://t.co/HjvLdom5QK,human,human,lol c'est un paquet de sauce de fromage https://t.co/HjvLdom5QK
41,kevinhookebot,"""Thea technolognether.amazonal.Spark settings of the point for the have to a large you too latenting to more in the smartings and content some to probably in time to provide that what one with the web set""",bot,rnn,"""Thea technolognether.amazonal.Spark paramètres du point pour avoir à un grand vous trop latent à plus dans les smartings et contenu quelques-uns à probablement à temps pour fournir ce que l'un avec le web set"""
42,realDonaldTrump,What a great evening! https://t.co/1hNqDdVayL,human,human,Quelle belle soirée! HTTPS://t.co/1hNqDdVayL
43,ahadsheriff,I stayed up until 3 to watch these bum Vikings get blown out by the Niners,human,human,Je suis resté jusqu'à 3 pour regarder ces boum Vikings se déverser par les Niners
44,AINarendraModi,I would go take a long are working together for record nuture of the people of the state.,bot,rnn,Je vais prendre un long temps travaillant ensemble pour la nourriture record du peuple de l'Etat.
45,theJadenTrudeau,Full statement on The Sound Track is Coming Soon,bot,others,Article détaillé sur The Sound Track est bientôt disponible
46,imranye,i almost bought $tsla calls last night LOOOOL,human,human,j'ai presque acheté $tsla appels la nuit dernière LOOOOL
47,kevinhooke,West Virginia officially embraces the inevitable flood of Fallout 76 tourists https://t.co/UrjPkcVtt8,human,human,West Virginia accueille officiellement l'inondation inévitable de Fallout 76 touristes https://t.co/UrjPkcVtt8
48,zawvrk,@imranye read this quickly and thought you tweeted that you wanted to fuck a cat,human,human,@imranye lisez ceci rapidement et pensez que vous avez tweeté que vous voulez faire un chat
49,ahadsheriff,"“Once a product has FDA approval, the legislation would allow its sale in San Francisco again.” https://t.co/KLV8RFhs6o",human,human,"« Une fois qu’un produit a l’approbation de la FDA, la législation permettrait sa vente à San Francisco à nouveau. » https://t.co/KLV8RFhs6o"
50,narendramodi,"I always dreamt of reviving the traditional crafts of Kashmir because this is a means to empower local women. 

I saw the condition of women artisans and so I began working to revise Namda craft. 

I am Arifa from Kashmir and here is my life journey. #SheInspiresUs https://t.co/hT7p7p5mhg",human,human,"J'ai toujours rêvé de revivre les artisans traditionnels du Kashmir parce que c'est un moyen d'autoriser les femmes locales. 

J'ai vu l'état des artisans féminins et donc j'ai commencé à travailler pour réviser l'artisanat de Namda. 

Je suis Arifa du Kashmir et voici mon voyage de vie. #SheInspiresUs https://t.co/hT7p7p5mhg"
51,elonmusk,@NatGeo <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D>,human,human,@NatGeo <U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D><U+0001F60D>
52,zawarbot,damn who wants to give you harambe ...... <U+0001F614><U+0001F614>,bot,others,Démonter qui veut te donner harambe...... <U+0001F614><U+0001F614>
53,jaden,Bed # 3 http://t.co/MZGwP1jvct,human,human,Chambre # 3 http://t.co/MZGwP1jvct
54,VBoterin,I'm thinking of P = NP,bot,gpt2,Je pense à P = NP
55,dril_gpt2,"the ""gast-gate"" controversy has been totally ignored by the mainstream press at the ""gates of hell"".",bot,gpt2,"La controverse ""gaste-gate"" a été totalement ignorée par la presse principale à ""les portes de l'enfer""."
56,dril,"TODAY:
- pissed some body off
- got my ass kicked
- Pissed myself
- got piss kicked into my ass
- ANd its only 2:01 AM.",human,human,"Aujourd’hui :
- J’ai déchiré un corps
J'ai mis mon assi
Pissé moi-même
- J'ai pissé dans mon cul
Il n'y a qu'à 2h01"
57,AINarendraModi,Speaking to be a wonderful interacting with you for for people of the people.,bot,rnn,Parler pour être une merveilleuse interaction avec vous pour les gens du peuple.
58,dril_gpt2,"your patience has just been summary dm'd by Homeland Security. they are forcing you to listen to their warped version of the prison theme for 9 months, and that's not a joke",bot,gpt2,"Votre patience a juste été le résumé dm'd par la Sécurité nationale. Ils vous forcent à écouter leur version de la thème de la prison pendant 9 mois, et ce n'est pas une blague"
59,AINarendraModi,Better to the programme is affordable and converation took time to the people of the state.I am support for the programme!,bot,rnn,Mieux pour le programme est abordable et la conversion a pris du temps pour le peuple de l'Etat.Je soutiens le programme!
60,AINarendraModi,Best wishes to the programme of @BJP4India Pusise of the Republic of Moon Shri @MPSpeatiOn. Watch.,bot,rnn,Meilleurs souhaits au programme de @BJP4India Pusise de la République de la Lune Shri @MPSpeatiOn. Regardez!
61,zawarbot,this choose your next TO wait 2 months to do about the END,bot,others,Ceci choisit votre prochaine à attendre 2 mois pour faire sur la fin
62,imranye,"@SAlayleh i do but i pay 750 a mo to literally sleep and change, half the days i shower at work <U+0001F62D>",human,human,"@SAlayleh je fais mais je paye 750 mo pour dormir littéralement et changer, la moitié des jours je douche au travail <U+0001F62D>"
63,imranyebot,Yessir IMRANYE15 for contractors OR universal basic internet is sal,bot,others,Yessir IMRANYE15 pour les entrepreneurs OR Internet de base universel
64,kevinhookebot,"""The ready simplicity to differy a page from location of console use the and more a specific years parts in that the controlled to the error users example for the conference in the a prosoft a systems is """,bot,rnn,« La simplicité prête à différer une page de l’emplacement de la console utilise les parties de plus en plus d’une année spécifique dans laquelle l’exemple de l’utilisateur contrôlé à l’erreur pour la conférence dans la prosoft un système est »
65,zawarbot,you were the shinigamis were half White ... spill 1 song,bot,others,Tu étais les shinigamis étaient la moitié blanche... spill 1 song
66,AINarendraModi,The admire of the state has committed to the familities of the special created the possible created sacration and her focusions.,bot,rnn,L’admiration de l’État s’est engagée aux familles de la spécialité créée la sacration possible créée et ses concentrations.
67,JustinTrudeau,"Today in the House, @Bill_Morneau shared an update on where our country’s economy is right now, our response to this pandemic in the global context, and what we can expect in the months to come. For a summary of his speech, read his thread below: <U+2935><U+FE0F> https://t.co/3yulCWt3zR",human,human,"Aujourd’hui dans la Chambre, @Bill_Morneau a partagé une mise à jour sur l’endroit où est l’économie de notre pays en ce moment, notre réponse à cette pandémie dans le contexte mondial, et ce que nous pouvons attendre dans les mois à venir. Pour un résumé de son discours, lisez son thread ci-dessous : <U+2935><U+FE0F> https://t.co/3yulCWt3zR"
68,AINarendraModi,Congratulations to the possible in talk in the crassion I would in to the people.,bot,rnn,Félicitations pour ce qui est possible dans le discours dans la crâtion que je voudrais entrer dans le peuple.
69,dril,the Clitoral pussy,human,human,Le Clitoral Pussy
70,jaden,Any MSFTS Living In Or Near Paris Please Start To Prepare Yourself Now. |||,human,human,"Tout MSFTS vivant à ou à proximité de Paris, veuillez commencer à vous préparer maintenant. L’écriture de l’eau"
71,kevinhookebot,"""The error for the Class in CentOS years of technologies and not seevel step approperty particular of the beans and not word of a noter soll been working to a website to content to up of the an the Lambda""",bot,rnn,"""L'erreur pour la classe dans CentOS années de technologies et pas de mer étape propriété particulière des bœufs et pas de parole d'un notaire auraient travaillé sur un site web pour contenir jusqu'à un de la Lambda"""
72,realDonaldTrump,"....They want ZERO transparency, thinking the world will not find out the death and tragedy that the Iranian Regime is causing!",human,human,"Ils veulent une transparence zéro, pensant que le monde ne saura pas la mort et la tragédie que le régime iranien provoque!"
73,ahadsheriff,RIP <U+0001F614> https://t.co/cvUcwDHIrr,human,human,RIP <U+0001F614> https://t.co/cvUcwDHIrr
74,dril,"""Reading your posts has made me a better person.""  Thank yo u.  A lot of people tell me that,",human,human,"« La lecture de vos posts m’a fait une meilleure personne. »  Merci à moi.  Beaucoup de gens me disent que,"
75,kevinhooke,Your ignorance is not a valid reason that a better solution doesn't exist,human,human,Votre ignorance n’est pas une raison valide qu’une meilleure solution n’existe pas
76,jaden,Uno Dos Drops Tomorrow #MSFTSmusic https://t.co/ZTvVjxOB6u,human,human,Un dos tombe demain #MSFTSmusic https://t.co/ZTvVjxOB6u
77,zawvrk,like all the poor man was trying to do was help clay get some punani and he died <U+0001F614>,human,human,Comme tout l'homme pauvre a essayé de faire était de l'aider clay obtenir un peu de punani et il est mort <U+0001F614>
78,kevinhooke,<U+0001F604><U+0001F604><U+0001F604> https://t.co/8y8lMVICI1,human,human,<U+0001F604><U+0001F604><U+0001F604> https://t.co/8y8lMVICI1
79,imranyebot,my boys hype me and,bot,others,Mes filles m'éclatent et
80,imranyebot,is such a simp who helped with mohib and simpers,bot,others,C'est un sim qui a aidé avec mohib et simpers
81,imranye,@mouadsheredi coming this week inshallah,human,human,@mouadsheredi vient cette semaine inshallah
82,ahadsheriffbot,we have Had The 2010s?,bot,others,Est-ce que nous avons eu les années 2010?
83,gpt2_trump,SHARE THIS:,bot,gpt2,Partagez ceci :
84,dril,"consider this: the time and energy it took for you to tell me to ""Shut the fuck up"" could have instead been used to breast feed 10 orphans .",human,human,"Considérez ceci: le temps et l'énergie qui vous ont pris pour me dire ""Shut the fuck up"" pourrait au lieu de cela être utilisé pour nourrir 10 orphelins."
85,ahadsheriffbot,It’s because it <U+0001F62D>,bot,others,C’est parce qu’il est <U+0001F62D>
86,dril_gpt2,"i had to delete a tweet where i said that seinfeld was good because it ""blew the sitcom genre up a bit"", due to backlash from the sitcom fandom",bot,gpt2,"j'ai dû supprimer un tweet où j'ai dit que seinfeld était bon parce qu'il ""a été le genre de sitcom un peu plus haut"", en raison du backlash du fandom de sitcom"
87,AINarendraModi,Respects the world can committed to Haryana.,bot,rnn,Respect le monde peut s’engager à Haryana.
88,awhalefact,@akennedy9792 <U+0001F97A><U+0001F60A><U+0001F499><U+0001F433>,human,human,@akennedy9792 <U+0001F97A><U+0001F60A><U+0001F499><U+0001F433>
89,zawvrk,wow when does this stop https://t.co/hoCyb8NxnU,human,human,wow quand cela s'arrête https://t.co/hoCyb8NxnU
90,ahadsheriffbot,Rocket man and this shall I finally got up and rebuild,bot,others,L'homme de roquettes et ce que je vais enfin se lever et reconstruire
91,kevinhookebot,"""The ended to still contection on the open steps nodes to ready to monero to a copy Adding to build this custobile on the do a project - to every any been an initial the develoded around to allows of cost""",bot,rnn,« La fin à toujours comptabilisation sur les nœuds ouverts pour se préparer à monero à une copie Ajouter à construire cette custobile sur le fait d'un projet - à chacun qui a été un initial le développé autour pour permettre de coûter »
92,zawvrk,@imranye ur avi is my dyson and my air pods tho,human,human,@imranye ur avi est mon dyson et mon air pods tho
93,dril,turning on all the smoke detectors in my house as punishment for making some statements that i might have to apologize for at a later date,human,human,tourner sur tous les détecteurs de fumée dans ma maison comme une punition pour faire certaines déclarations que je pourrais avoir à m'excuser pour une date ultérieure
94,imranyebot,5k tik tok of you tweet,bot,others,5K tweet pour vous
95,theJadenTrudeau,"next great Global stage at the abortion debate starts in Quebec, you’ve been affected by…",bot,others,"La prochaine grande phase mondiale du débat sur l’avortement commence au Québec, vous avez été touché par..."
96,kevinhooke,Refactoring is an essential part of the development process. No-one writes easily readable and maintainable code on the first go. It's always an iterable process to go back and refactor your first working solution https://t.co/G07sMZG90h,human,human,La réfection est une partie essentielle du processus de développement. Personne n’écrit un code facile à lire et à entretenir au premier pas. Il est toujours un processus irréprochable de revenir et de restaurer votre première solution de travail https://t.co/G07sMZG90h
97,calebgamman,@Lewiswbt1 once ppl find out about my lips its over,human,human,@Lewiswbt1 une fois que ppl découvre sur mes lèvres
98,imranye,@nabrathhhh https://t.co/j3hsvMM4u4,human,human,@Nabrathhhh https://t.co/j3hsvMM4u4
99,theJadenTrudeau,You Still Alive by The National Assembly this Lexington,bot,others,Vous êtes encore en vie par l'Assemblée nationale de ce Lexington
100,kevinhooke,"@ItsTheBrandi @anildash Yes! I miss Reader, one of those apps that I never quite understood why it was retired",human,human,"@ItsTheBrandi @anildash Oui! J'ai manqué Reader, l'une de ces applications que je n'ai jamais entièrement compris pourquoi il était en retraite"
101,realDonaldTrump,This is the real story behind the Do Nothing Democrats! https://t.co/4tPTICdSR1,human,human,C’est la véritable histoire derrière les démocrates qui ne font rien! HTTPS://t.co/4tPTICdSR1
102,kevinhookebot,"""The least at the can be in the instances for the project in the developer getting and send a last the stept is spec rather that the next files of the pages about the files seems any release in a seet to """,bot,rnn,"""Le moins à l'heure peut être dans les cas pour le projet dans le développeur obtenir et envoyer un dernier étape est spec plutôt que les prochains fichiers des pages sur les fichiers semble n'importe quelle libération dans un cliché à """
103,kevinhookebot,"""The computer started at a Lambda full and to the explany the point of the Spark Apple have been enter to setup to many value of the PS3 and have large community been node and the select to the Common we """,bot,rnn,"""L'ordinateur a commencé à une Lambda pleine et à l'explane le point de l'Apple Spark ont été introduits pour s'installer à beaucoup de valeurs de la PS3 et ont une grande communauté a été node et le sélectionné pour le Common nous """
104,zawvrk,after hearing this i gotta go https://t.co/PqRzZybPSY,human,human,Après avoir entendu cela je vais https://t.co/PqRzZybPSY
105,dril,@mobilepro_  https://t.co/bDLCwtWdZu,human,human,@mobilepro_ https://t.co/bDLCwtWdZu
106,kevinhooke,Reducing Docker container image size using JDK9+ modules #CodeOne https://t.co/86hiSEHPS4,human,human,Réduire la taille d'image du conteneur Docker en utilisant les modules JDK9+ #CodeOne https://t.co/86hiSEHPS4
107,dril_gpt2,unfollow if youre a fat ass dog turd with lazy eyes and no backbone#FwdMyFallsInAnOTHERWorldishTerrificBringYourDoggs,bot,gpt2,unfollow si vous êtes un chien à poitrine avec des yeux lisse et sans dos#FwdMyFallsInAnOTHERWorldishTerrificBringYourDoggs
108,kevinhooke,Swimming trunks for all time? <U+0001F615> Just not in the winter? https://t.co/w10gCNz6Tv,human,human,La piscine pour tout le temps? <U+0001F615> Tout simplement pas en hiver? HTTPS://t.co/w10gCNz6Tv
109,zawvrk,LMFAOOOOOOOOOOO https://t.co/nIpvLMZWZb,human,human,LMFAOOOOOOOOO HTTPS://t.co/nIpvLMZWZb
110,zawarbot,don’t gotta be a nut to sleeping early?,bot,others,Est-ce qu’il ne faut pas dormir tôt?
111,imranye,7 left https://t.co/8ROXdRD4J3,human,human,7 gauche https://t.co/8ROXdRD4J3
112,dril,""" pivot to Toilet """,human,human,« Pivot à la toilette »
113,zawarbot,i get ready for a japanese r disgusting,bot,others,Je suis prêt pour un r japonais désagréable
114,nsp_gpt2,"A fine, fine evening for twerking",bot,gpt2,Bonne soirée pour Twerking
115,gpt2_trump,@realDonaldTrump I love it.,bot,gpt2,@realDonaldTrump Je l’aime.
116,gpt2_trump,Hands on Trade!,bot,gpt2,Les mains sur le commerce!
117,kevinhooke,"@_tamanm @OracleCodeOne @Java_Champions @groundbreakers It was a great session, thanks!",human,human,"@_tamanm @OracleCodeOne @Java_Champions @groundbreakers C'était une excellente session, merci!"
118,dril,im not saying i dont respect the flag. just saying id respect it more if it was a picture of something thats good to me. like someones lunch,human,human,Je ne dis pas que je ne respecte pas le drapeau. J'ai juste dit que je respecte plus si c'était une image de quelque chose qui est bon pour moi. Comme un petit déjeuner
119,AINarendraModi,Best wishes more to the their democracy is the corruption of the country.,bot,rnn,Le meilleur désir de leur démocratie est la corruption du pays.
120,kevinhookebot,"""The hade following the content file of the previous stepment that your key. Trinted a service for the can cluster may development around to you to version that you been look at the lack to start is a wil""",bot,rnn,"« Le had a suivi le fichier de contenu de l’étape précédente que votre clé. Trinted un service pour le cluster peut se développer autour de vous à la version que vous avez regardé le manque de commencer est une volonté"""
121,zawvrk,@OAli317 @imranye imran 100% tweeted this off my account lmaooo,human,human,@OAli317 @imranye imran 100% tweeté cela hors mon compte lmaooo
122,imranyebot,king Allah is not dudes,bot,others,Le roi Allah n’est pas du tout
123,AINarendraModi,Looking forward to improve the programme with the people of hoper for this interacting with everyoneness to India's moodnity.,bot,rnn,J'attends d'améliorer le programme avec les gens d'hoper pour cette interaction avec l'allégresse à l'humour de l'Inde.
124,zawvrk,"for brazil vs belgium, firmino is gonna come on the pitch 2nd half and score a hat trick i’m calling it rn",human,human,"pour le Brésil vs Belgique, firmino sera sur le terrain 2ème moitié et score un chapeau truc je l'appelle rn"
125,sarcastic_trump,Luther Strange picked up many of the Joint Investigative Mechanism for Syria to ensure that our HEROES out there.,bot,others,Luther Strange a recueilli de nombreux mécanismes d’enquête conjoints pour la Syrie pour s’assurer que nos héros y sont sortis.
126,nsp_gpt2,"Danny's kinda into enemas, so that's cool.",bot,gpt2,"Danny's kinda en enemas, donc c'est cool."
127,dril_gpt2,"Realize how lucky you are to be living in a 3rd world nation, the 1st world, the 2nd world, the 3rd world, the 4th world, etc, etc",bot,gpt2,"Comprenez à quel point vous avez de la chance de vivre dans un pays du 3ème monde, le 1er monde, le 2ème monde, le 3ème monde, le 4ème monde, etc."
128,dril_gpt2,my principle objection to Animal Planet's approach to life is that they seem to focus more on sex than animals do. why waste tax payers' money on animals when you can just piss shit,bot,gpt2,Mon principe d'opposition à l'approche de la planète animale à la vie est qu'ils semblent se concentrer plus sur le sexe que les animaux. Pourquoi les contribuables de déchets payent de l'argent sur les animaux quand vous pouvez juste pisser la merde
129,nsp_gpt2,hey check it out: penis,bot,gpt2,Vérifier : le pénis
130,AINarendraModi,The meanda of the people of Metter on the Good thing of :),bot,rnn,La méanda du peuple de Metter sur la bonne chose de :)
131,narendramodi,"Great work by our young students.

Such efforts will increase awareness on reducing single use plastic. https://t.co/poBdxPUkXI",human,human,"Très bon travail de nos jeunes étudiants.

Ces efforts augmenteront la sensibilisation à la réduction du plastique à usage unique. HTTPS://t.co/poBdxPUkXI"
132,zawvrk,LMFAOO https://t.co/GswqMzU7LO,human,human,LMFAOO https://t.co/GswqMzU7LO
133,kevinhooke,Awesome thread of the day... https://t.co/nyKTL6PijY,human,human,Très beau thème de la journée... https://t.co/nyKTL6PijY
134,ninjasexparty,"well well well look at the time

             12
       11    ^     1
   10        |         2
9           <U+2299>----&gt;  3
   8                   4    
        7          5         
              6                 

It’s 12:15. Time to masturbate!",human,human,"Regardez bien le temps

             12
       11 à 1
   10 de 2
9 <U+2299>----&gt; 3
   8 4    
        7 5         
              6                 

Il est 12:15. Il est temps de se masturber!"
135,dril_gpt2,"my prediction for 2016: 2.0 pandering to the lowest common denominator
my prediction for 2017: nothing.
my prediction for 2018: a ghost town of completely dumb ass accounts. theres no one left to",bot,gpt2,"ma prédiction pour 2016: 2.0 pandering au plus bas dénominateur commun
Mes prévisions pour 2017 : rien.
ma prédiction pour 2018 : une ville de fantômes de comptes complètement stupide. Mais personne n'a laissé"
136,zawarbot,got my life in paris on the last episode OF bag,bot,others,J’ai eu ma vie à Paris dans l’épisode de la bague
137,imranye,"@oihamza <U+0001F48E> i’ve seen this be used for ruby 

not languages but <U+0001F6A2> for ship and <U+0001F680> for launch",human,human,"@oihamza <U+0001F48E> j'ai vu cela être utilisé pour ruby 

non langues mais <U+0001F6A2> pour le navire et <U+0001F680> pour le lancement"
138,dril,@leighmctweets we cannot say for sure that this is the case.,human,human,@leighmctweets nous ne pouvons pas dire avec certitude que c’est le cas.
139,dril,ive had enough of posting! The favs.. the retweets.. the girls replying.. it all means nothing to me! Mr Donald Trump... put me in the WAR!!,human,human,"J'ai eu assez de post! Les favs... les retweets... les filles répondues... tout cela ne signifie rien pour moi! M. Donald Trump, m’a mis dans la guerre!et!"
140,zawarbot,i love vegetables,bot,others,J’aime les légumes
141,imranyebot,i wanna see this is where i tweet is true I listen to god I had sugar in the one comes from the content there LOL,bot,others,i wanna see this is where i tweet is true I listen to god j'ai eu du sucre dans l'un vient du contenu là LOL
142,dril_gpt2,"im going to be the guy who posts shit like ""Fidget spinners are the new Pokemon"". youre welcome",bot,gpt2,"Je vais être le garçon qui publie la merde comme ""Fidget spinners sont le nouveau Pokemon"". Vous êtes bienvenue"
